artist,album,track_name,track_id,acousticness,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
A[way],Frozen Roses,Frozen Snow,7oC3l3d5t5NUDofzIVipYR,0.317,0.52,0.417,6,-14.186,1,0.209,0.892,0.0861,0.854,218.659,111115,4
S N U G,Moonglow,Warm Meadows,4jJMLG7qF0wSJTmpbrRzy1,0.818,0.583,0.338,5,-14.614,1,0.0282,0.842,0.0836,0.142,144.057,146901,4
Laffey,Summer Nights,Crush,1DFGKUkMaq19KjswhR1ofU,0.982,0.872,0.245,11,-13.957,1,0.152,0.956,0.119,0.209,119.818,130760,4
C4C,L'aventure EP,L'aventure,68p5fcu2AXLPuROLKKV5H1,0.783,0.793,0.356,7,-11.987,1,0.0978,0.889,0.334,0.372,89.967,149333,4
Various Artists,1 Am. Study Session,Lunar Drive,4kOAvJlgkqzXtzcTI7ZBO3,0.972,0.45,0.109,9,-23.279,1,0.0358,0.945,0.107,0.214,168.041,189286,4
Sarcastic Sounds,It's OK to Cry,It's OK to Cry,5utrtANUaATItHm4Twgp6Z,0.371,0.772,0.502,10,-13.254,0,0.0291,0.922,0.0917,0.145,152.031,102056,4
mt. fujitive,Beat Batch 2016,Träumend,60s0PCendJRDZnHvgSUIF1,0.902,0.704,0.138,1,-14.713,1,0.0531,0.938,0.107,0.821,80.936,72250,4
Various Artists,a cup of lofi #2,soulful eyes,4gXk3PSnhExzxsha3kMsVR,0.412,0.695,0.0821,5,-20.99,1,0.052,0.929,0.088,0.224,139.901,187440,4
Various Artists,ALWAYS PROPER - BUMPS & BRUISES 02,Solitude,4gEAYcaZPHpFFelzdt7pBX,0.199,0.844,0.521,4,-7.993,0,0.0763,0.937,0.136,0.118,87.998,110305,4
dryhope,White Oak,White Oak,4cqQUn64txt20Wgz28yl2i,0.76,0.742,0.166,6,-14.773,1,0.129,0.624,0.131,0.558,173.979,118875,4
Lo'fi Boy,Sherbet,Sherbet,6L0PxTqCZ0ZKT8CCjR7pXS,0.646,0.824,0.119,1,-16.583,1,0.334,0.932,0.107,0.533,166.721,161239,4
mell-ø,After Thoughts,Dreamin',2fptnhePTIa28co1vRKHGM,0.946,0.813,0.131,3,-19.323,1,0.0608,0.948,0.117,0.312,63.008,112143,4
